"","FIPS","ISO2","ISO3","UN","NAME","AREA","POP2005","REGION","SUBREGION","LON","LAT","GDESC","GVALUE","GYEAR"
"6482","FR","FR","FRA",250,"France",55010,60990544,150,155,2.55,46.565," KINEMARK CYNFARCH OER ",134,369
"293","CH","CN","CHN",156,"China",932743,1312978855,142,30,106.514,33.42," KINEMARK CYNFARCH OER ",12,369
"206167","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," KIRBY LUKE",302,176
"16310","PL","PL","POL",616,"Poland",30629,38195558,150,151,19.401,52.125," KOLBE MAXIMILIAN ",17,295
"882","JA","JP","JPN",392,"Japan",36450,127896740,142,30,139.068,36.491," KOLBE MAXIMILIAN ",7,295
"294","CH","CN","CHN",156,"China",932743,1312978855,142,30,106.514,33.42," KOREA MARTYRS OF ",12,269
"16311","PL","PL","POL",616,"Poland",30629,38195558,150,151,19.401,52.125," KOWALSKA MARIA FAUSTINA ",17,293
"206168","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," KYNED CENYDD ",302,402
"8553","IT","IT","ITA",380,"Italy",29411,5864636,150,39,12.8,42.7," LABRE BENEDICT JOSEPH ",87,245
"19213","SZ","CH","CHE",756,"Switzerland",4000,7424389,150,155,7.908,46.861," LABRE BENEDICT JOSEPH ",22,245
"18738","SP","ES","ESP",724,"Spain",49904,43397491,150,39,-3.649,40.227," LABRE BENEDICT JOSEPH ",70,245
"6483","FR","FR","FRA",250,"France",55010,60990544,150,155,2.55,46.565," LABRE BENEDICT JOSEPH ",134,245
"206169","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," LANFRANC ",302,46
"206170","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53,"BAPTIST DE ",302,232
"6484","FR","FR","FRA",250,"France",55010,60990544,150,155,2.55,46.565,"BAPTIST DE ",134,232
"5065","EI","IE","IRL",372,"Ireland",6889,4143294,150,154,-8.152,53.177," LASERIAN ",93,449
"5066","EI","IE","IRL",372,"Ireland",6889,4143294,150,154,-8.152,53.177," LAUDUS LO ",93,459
"18739","SP","ES","ESP",724,"Spain",49904,43397491,150,39,-3.649,40.227," LAURENCE ",70,311
"7135","GM","DE","DEU",276,"Germany",34895,82652369,150,155,9.851,51.11," LAURENCE OF BRINDISI ",65,201
"18740","SP","ES","ESP",724,"Spain",49904,43397491,150,39,-3.649,40.227," LAURENCE OF BRINDISI ",70,201
"1658","PO","PT","PRT",620,"Portugal",9150,10528226,150,39,-8.058,40.309," LAURENCE OF BRINDISI ",15,201
